ward_id,ward_name,latitude,longitude,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-01,20.9,26.6,16.0,75,9.7,15.86,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-02,20.6,26.9,15.5,79,9.9,15.41,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-03,20.4,26.6,15.3,72,12.0,16.09,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-04,20.2,27.4,14.1,73,10.7,16.14,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-05,20.7,27.9,14.6,73,11.0,16.23,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-06,21.1,28.1,15.4,70,10.2,16.43,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-07,21.0,28.1,14.9,69,14.3,16.1,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-08,21.6,28.4,16.8,72,15.3,16.03,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-09,21.2,27.8,16.0,76,12.3,16.07,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-10,22.4,29.2,16.1,78,13.0,15.34,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-11,23.7,29.5,19.5,77,12.6,15.53,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-12,21.5,27.0,17.6,72,13.3,16.42,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-13,20.2,26.8,14.7,69,15.8,16.82,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-14,21.0,27.7,14.0,76,10.8,16.3,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-15,21.6,28.4,16.1,77,9.7,15.51,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-16,22.1,27.6,18.0,81,12.7,14.14,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-17,21.7,26.1,18.7,87,12.1,10.59,3.8
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-18,22.9,27.8,18.9,82,21.6,13.08,0.3
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-19,22.2,27.3,18.7,77,13.8,14.59,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-20,21.5,27.0,17.6,79,13.3,14.07,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-21,21.4,26.8,18.1,87,7.1,10.03,5.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-22,20.5,24.7,15.7,72,15.7,10.63,1.4
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-23,21.1,27.7,15.4,66,15.3,14.44,2.3
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-24,20.2,23.4,17.6,88,18.7,6.56,20.4
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-25,19.6,24.5,16.0,82,14.9,11.22,0.9
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-26,19.5,25.4,15.4,75,11.6,17.17,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-27,19.5,25.7,14.2,74,9.7,17.74,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-28,19.7,26.5,14.0,77,12.5,18.0,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-29,20.7,27.6,13.9,77,15.1,17.25,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-30,22.4,28.8,16.6,79,13.7,16.26,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-01-31,23.3,29.5,19.3,75,15.7,16.18,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-01,24.0,30.1,19.8,78,19.3,17.35,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-02,23.3,29.3,19.0,85,14.0,14.22,0.6
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-03,23.5,29.6,19.3,81,15.5,16.84,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-04,24.2,30.3,19.3,78,13.7,16.86,0.4
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-05,24.3,30.9,18.2,79,15.4,18.64,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-06,26.1,32.6,22.0,79,20.3,17.88,0.6
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-07,25.1,30.3,21.2,80,17.9,14.83,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-08,24.1,29.0,20.5,75,16.8,14.27,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-09,21.8,27.4,17.8,64,15.7,18.98,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-10,21.3,28.0,15.5,64,9.4,19.6,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-11,22.7,29.5,16.9,67,12.8,19.3,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-12,23.5,31.0,17.8,68,14.7,18.95,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-13,23.7,31.7,18.0,73,15.3,18.91,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-14,23.5,31.6,17.6,77,16.3,18.71,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-15,24.4,31.4,18.2,78,17.4,17.57,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-16,24.7,32.1,18.6,68,14.2,19.8,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-17,25.3,32.4,19.8,73,14.4,19.11,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-18,26.0,32.5,20.9,75,15.9,17.91,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-19,26.2,33.2,20.8,75,15.8,18.41,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-20,27.3,35.1,21.6,67,17.2,18.08,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-21,27.6,35.6,21.3,57,21.6,18.65,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-22,27.5,33.1,23.4,66,25.0,18.25,0.4
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-23,26.4,31.5,22.2,71,18.8,18.91,0.5
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-24,24.2,28.1,21.3,83,14.3,12.84,9.5
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-25,24.4,30.6,20.9,81,17.7,15.99,6.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-26,25.1,31.1,20.3,71,14.7,19.8,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-27,25.4,31.6,20.2,66,16.7,20.61,0.3
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-28,26.7,33.2,21.2,67,11.1,20.17,0.1
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-02-29,26.8,33.2,21.4,73,9.8,20.07,0.0
BBSR-01,Bhubaneswar Zone 01,20.2961,85.8245,2024-03-01,27.2,34.1,23.2,75,12.6,19.92,0.0
